Marca temporal,Localidad:,Genero,Edad:,Como vas a la universidad?,Distancia de donde residís a la universidad en cuadras:,Cantidad de materias aprobadas hasta el momento (con final):,Cantidad de materias desaprobadas hasta el momento:,Cantidad de años cursados:,Cantidad máxima de materias aprobadas en un cuatrimestre:,Cantidad mínima de materias aprobadas en un cuatrimestre:,Cantidad máxima de materias desaprobadas en un cuatrimestre:,Cantidad mínima de materias desaprobadas en un cuatrimestre:
11/11/2022 9:16:51,General Rodriguez ,Masculino,18 a 25,Transporte publico,mas de 40 cuadras,9,6,2,3,2,3,2
11/11/2022 9:42:00,Ituzaingo,Femenino,mas de 45,Transporte publico,mas de 40 cuadras,4,1,2,2,2,0,0
11/11/2022 9:48:08,Merlo,Femenino,26 a 35,Transporte publico,entre 30 y 40 cuadras,2,0,1,2,1,0,0
11/11/2022 10:01:24,Marcos Paz,Femenino,18 a 25,Transporte publico,mas de 40 cuadras,3,2,1,2,2,2,1
11/11/2022 10:03:00,Castelar ,Femenino,26 a 35,Transporte publico,mas de 40 cuadras,4,1,1,2,2,1,1
11/11/2022 10:03:39,Ituzaingo,Masculino,18 a 25,Transporte publico,entre 30 y 40 cuadras,3,2,2,3,1,3,0
11/11/2022 10:12:26,Paso del Rey,Masculino,18 a 25,Transporte publico,mas de 40 cuadras,11,5,3,7,0,1,1
11/11/2022 10:47:56,Merlo,Masculino,18 a 25,Transporte publico,entre 30 y 40 cuadras,11,1,2,2,1,1,1
11/11/2022 11:03:25,Merlo,Masculino,26 a 35,Transporte propio,entre 30 y 40 cuadras,25,2,3,4,2,2,0
11/11/2022 11:04:54,Castelar,Masculino,26 a 35,Transporte publico,mas de 40 cuadras,32,20,6,6,1,6,1
11/11/2022 11:39:59,Moreno,Masculino,18 a 25,Transporte publico,mas de 40 cuadras,5,1,1,3,2,1,1
11/11/2022 11:40:18,Merlo,Masculino,18 a 25,Transporte publico,mas de 40 cuadras,4,0,1,5,5,0,0
11/11/2022 11:40:22,Merlo,Masculino,18 a 25,Transporte publico,mas de 40 cuadras,4,0,1,5,4,0,0
11/11/2022 11:50:27,Merlo,Masculino,26 a 35,Transporte publico,mas de 40 cuadras,5,1,1,3,1,1,0
11/11/2022 11:52:19,Libertad,Femenino,18 a 25,Transporte propio,entre 10 y 20 cuadras,8,2,2,3,2,1,1
11/11/2022 11:57:05,Pontevedra,Masculino,18 a 25,Transporte publico,mas de 40 cuadras,4,0,"0,5",4,4,0,0
